dat	1	michael passed the salt to the person across the table .
dat	1	michael passed the person across the table the salt .
dat	1	christopher passed a letter to the person across the table .
dat	1	christopher passed the person across the table a letter .
dat	1	christopher sent the salt to the lawyer .
dat	1	christopher sent the lawyer the salt .
dat	1	michael sent a letter to the lawyer .
dat	1	michael sent the lawyer a letter .
dat	1	nicole assigned a project to the employee .
dat	1	nicole assigned the employee a project .
dat	1	elizabeth assigned a gold star to the student .
dat	1	elizabeth assigned the student a gold star .
dat	1	jessica assigned a task to the employee .
dat	1	jessica assigned the employee a task .
dat	1	michael awarded a project to the employee .
dat	1	michael awarded the employee a project .
dat	1	jessica awarded a gold star to the employee .
dat	1	jessica awarded the employee a gold star .
dat	1	michael awarded a task to the employee .
dat	1	michael awarded the employee a task .
dat	1	jason shipped a letter to the client .
dat	1	jason shipped the client a letter .
dat	1	jason shipped a package to the client .
dat	1	jason shipped the client a package .
dat	1	michael posted a letter to the recipient .
dat	1	michael posted the recipient a letter .
dat	1	christopher posted a package to the client .
dat	1	christopher posted the client a package .
dat	1	nicole chucked the ball to the other team .
dat	1	nicole chucked the other team the ball .
dat	1	christopher chucked the stick to the most valuable player .
dat	1	christopher chucked the most valuable player the stick .
dat	1	michael chucked the frisbee to the other team .
dat	1	michael chucked the other team the frisbee .
dat	1	elizabeth flung the ball to the goalie .
dat	1	elizabeth flung the goalie the ball .
dat	1	nicole flung the stick to the other team .
dat	1	nicole flung the other team the stick .
dat	1	christopher flung the frisbee to the goalie .
dat	1	christopher flung the goalie the frisbee .
dat	1	michael tossed the ball to the other team .
dat	1	michael tossed the other team the ball .
dat	1	christopher tossed the stick to the other team .
dat	1	christopher tossed the other team the stick .
dat	1	michael tossed the frisbee to the other team .
dat	1	michael tossed the other team the frisbee .
dat	1	nicole threw the ball to the goalie .
dat	1	nicole threw the goalie the ball .
dat	1	christopher threw the stick to the goalie .
dat	1	christopher threw the goalie the stick .
dat	1	jessica threw the frisbee to the goalie .
dat	1	jessica threw the goalie the frisbee .
